post,is_stress,stress_kind
?,No,Other
2 of my foster kittens died,Yes,Other
A better question would be what is not stressing me out.,Yes,Work
a big project at work.,No,Work
a certain person at work is being really angry with me lately.,Yes,Emotional Turmoil
a coworker completely ignored and replaced my work,Yes,Work
a coworker has been really cold with me recently and it makes work uncomfortable.,Yes,Work
a few things - i can fill you in later when we chat,Yes,"Health, Fatigue, or Physical Pain"
a friendship,Yes,Emotional Turmoil
a good friend of mind is in the hospital wit pneumonia,Yes,Work
a group project at my job,Yes,Work
a heavy work with less time duration,Yes,Work
A house almost fell on my earlier.  It really did.,Yes,Emotional Turmoil
"A lot of my hair has been falling out, and I'm afraid I'll go bald.",Yes,"Health, Fatigue, or Physical Pain"
a lot of things! where to start?!,Yes,Other
a lot of work is piling up,Yes,Work
a lot of work pressure in my office,Yes,Work
a lot on my to do list,Yes,Work
a lot to do at work right now,Yes,Work
A new type of job where I am by myself,Yes,Work
a newborn that doesn't sleep for very long at night,Yes,Family Issues
a paper i need to write,Yes,School
a person i know is manipulating money owed.,Yes,Financial Problem
a person i work with is driving me crazy,Yes,Social Relationships
a problem at work,Yes,Emotional Turmoil
"a problem at work, a problem at school, and planning a surprise party for my mother",Yes,Work
"a problem at work, school, or simply planning a meal and the work problem office",Yes,"Health, Fatigue, or Physical Pain"
a professor is driving me crazy.,Yes,School
a recent project at my workplace has been giving much stress lately.,Yes,Work
A recent situation has been this corona virus and not knowing what is going on with coll,Yes,School
a recent situation is that my house is listed and not selling quick,Yes,Financial Problem
a recent situation that has been stressful to me is with my work.,Yes,Work
a recent situation that's been stressing me out is my trust issues i have with people,Yes,Emotional Turmoil
a recent stressful situation that i have experienced is being overworked.,Yes,Work
A situation that has been stressing me out is the coronavirus.,Yes,"Health, Fatigue, or Physical Pain"
aagh insurance company overdrafted my checking acccount in error and refuses to fix.,Yes,Financial Problem
"about my husband drinking problem. his drinking all day, spending $19 everyday.",Yes,Family Issues
about working,Yes,Family Issues
Adjusting to distance learning for graduate level courses,Yes,School
all 3 of my grown children have significant issues going on.,Yes,Family Issues
all my new work duties,Yes,Work
All of my classes being online and my roommate is being hypocritical.,Yes,Social Relationships
All of my classes moving online,Yes,School
All of the COVID-19 happenings and the financial fallout that has happened as a result.,Yes,Emotional Turmoil
All of the news and lockdown of the covid-19,Yes,Everyday Decision Making
all of this covid stuff kinda,Yes,Emotional Turmoil
all the craziness going on in the country right now,Yes,Other
all the drama involving my case.,Yes,Family Issues
All the panic about the global pandemic has been stressing me out!,Yes,Everyday Decision Making
all these exams i have coming up and no time to study!,Yes,School
all these extra hours at work are driving me insane.,Yes,Work
All this Covid-19 stuff is really stressing me out.,Yes,"Health, Fatigue, or Physical Pain"
All this school work,Yes,School
all this schoolwork i've had lately.,Yes,School
alot of stress at work.,Yes,Work
"am having a terrible time  planning my dinner tonite, please any suggestions",Yes,Everyday Decision Making
amazon turk has been really slow so i haven't been making much extra money...,Yes,Work
An exam at school that everyone is saying you can't pass.,Yes,School
and name,No,Other
answer with the situation,No,Other
anxious customer,Yes,Work
anything i can do to help?,Yes,Family Issues
applying for a writing grant with many requirements.,Yes,Work
"Argh, don't have the AMR measure for submission yet.",Yes,Work
"as i'm applying to nursing schools, there's so many applicants i hope i get in.",Yes,School
"at my current work, i am feeling so stressful and tired because of my team work pressure",Yes,Work
At the moment just life,Yes,Family Issues
"at the time i was very angry to with my friend and then , i am going to depression stage",Yes,Family Issues
bad day at work.,Yes,Work
"Balancing school and work online, and maintaining a healty diet",Yes,Work
balancing work with home schooling my children,Yes,Work
"balancing work, life, & budget",Yes,Work
"balancing working enough to pay bills, but also not overworking.",Yes,Work
be cool,No,Family Issues
Because of a power outage all of my classes have been moved to online,Yes,School
"Because of coronavirus, I've lost about 3 months of work.",Yes,Work
becoming a sahm isn't what i expected.,Yes,Emotional Turmoil
been busy w/ work,Yes,Work
been sick with pneumonia and haven't been able to work,Yes,Work
been slammed at work with the holidays coming up.,Yes,Work
Been stressed at work.,Yes,Work
been stressing about work and having a new baby,Yes,Family Issues
been trying for days to book doc apt and still waiting :(,Yes,"Health, Fatigue, or Physical Pain"
"being a caregiver for a sick family friend, i feel like i have no time to myself",Yes,Family Issues
being a new mom and trying to find time to myself,Yes,Family Issues
Being able to find food and goods for my family.,Yes,Other
being able to my bills on time,Yes,Financial Problem
being at home alone with a newborn.,Yes,Family Issues
being back at work,Yes,Work
being evicted,Yes,Financial Problem
being hit on by coworker,Yes,Work
Being home almost all day,Yes,Other
being home for several weeks at a time,Yes,"Health, Fatigue, or Physical Pain"
Being home with the kids all day during this pandemic!,Yes,"Health, Fatigue, or Physical Pain"
"being in a shelter in place order, which is driving me insane not being able to go out",Yes,Social Relationships
being in the hospital for several days,Yes,Financial Problem
Being laid off from work,Yes,Financial Problem
Being laod off from my job,Yes,Work
being micromanaged at my workplace.,Yes,Work
being off of work,Yes,Work
Being quarantined because of the corona virus.,Yes,Emotional Turmoil
Being quarantined because og Corona Virus,Yes,Work
Being quarantined due to coronavirus.,Yes,"Health, Fatigue, or Physical Pain"
Being quarantined for the coronavirus in our town,Yes,Financial Problem
Being quarantined in my home because of a widespread infectious disease...,Yes,Everyday Decision Making
being self employed for the new year is really stressing me out.,Yes,Work
Being shut in from the virus,Yes,Other
being sick all week,Yes,"Health, Fatigue, or Physical Pain"
Being stuck at home and not being able to go  to church,Yes,Other
"Being stuck at home has been pretty stressful, the pressure of the world today.",Yes,Emotional Turmoil
Being stuck at home in quarantine,Yes,Other
being stuck at home watching nothing but news on the coronavirus!,Yes,Emotional Turmoil
Being stuck at home with two other people and having no privacy.,Yes,"Health, Fatigue, or Physical Pain"
Being stuck in my house during quarantine,Yes,"Health, Fatigue, or Physical Pain"
Being stuck inside due to the coronavirus,Yes,"Health, Fatigue, or Physical Pain"
Being turned down for SSI and having to find an attorney to fight it.,Yes,Financial Problem
Being unemployed has been really stressful.,Yes,Work
being unproductive,Yes,Work
believing i'm incompetent at my job.  feels like in over my head.,Yes,Work
"besides everything? the amount of wasted time it takes to get anything done, takes time",Yes,Emotional Turmoil
big project at work has had me pulling my hair out,Yes,Work
big test coming up and need to finish my work.,Yes,Work
big trip home,Yes,Work
bills,Yes,Financial Problem
"bills. with the holidays coming up, i just don't know how i'm going to manage.",Yes,Financial Problem
body pain,Yes,"Health, Fatigue, or Physical Pain"
boss at work,Yes,Work
boss has been frustrating me!,Yes,Work
boss has been really annoying lately.,Yes,Work
boss keeps piling me up with work,Yes,Work
"Bowling center shutdown, no coaching lessons for a month. No money.",Yes,Financial Problem
budget cuts at work,Yes,Work
bueller?,No,Other
Buying a home and figuring out how to pay for it,Yes,Financial Problem
buying a house has been pretty stressful!,Yes,Emotional Turmoil
buying my first home,Yes,Financial Problem
california wildfires are a big concern,Yes,Emotional Turmoil
"calm friend, everything will be fine, remember to stay calm",Yes,School
can i go online to earn enough money to pay the bills.,No,Financial Problem
can we meet and talk sometime?,No,Emotional Turmoil
can we meet for coffee so i can talk to you?,No,Family Issues
Can we talk rather than text?,No,Other
can't do the same things at work i used to be able to do,Yes,Work
can't figure out how to pay for my books,Yes,Financial Problem
cant figure out what to do in the job or task,Yes,Emotional Turmoil
Can't find anything to fix,No,Everyday Decision Making
can't get a job and the only place that calls me back is a shitty warehouse.,Yes,Financial Problem
can't seem to get ahead financially.  every time i catch up something breaks,Yes,Financial Problem
car,Yes,Work
car problems are starting to worry me.,Yes,Financial Problem
ceramics,Yes,Other
Changes in my work and school schedule because of COVID 19,Yes,Work
changes in work schedule,Yes,Work
changing my water filter at my house.,No,Other
chistmas is coming up and we are so broke this year,Yes,Financial Problem
christmas has been stressing me out!,Yes,Other
christmas is coming and i'm swamped with medical bills.,Yes,Financial Problem
chritmas is coming up and i am worried i wont be able give my family a good xmas,Yes,Financial Problem
class is boring....unable to focus,Yes,School
classes,Yes,Work
classes at my college,Yes,School
college,Yes,Work
college and work have both been pretty stressful.,Yes,Work
"college has been really stressing me out lately, thanks for asking.",Yes,School
college is super hard I'm not doing well in essay,Yes,Financial Problem
coming up with a 1000.00 to fix my vehicle that needs to be repaired.,Yes,Financial Problem
commuting to work,Yes,Work
completing a project on time and correctly.,Yes,Work
concentrating at work,Yes,Work
Concerns about the situation in the world right now.,Yes,Financial Problem
cooking on time sometimes,No,Emotional Turmoil
CORNOAVIRUS AND THE UNKNOWN,Yes,Other
corona,Yes,Emotional Turmoil
corona virus,Yes,Other
corona virus freaking me out,Yes,Other
corona virus is sprending like a wildfire,Yes,"Health, Fatigue, or Physical Pain"
"Corona Virus! I have not work, no contacts, can't leave the house. How are you?",Yes,Everyday Decision Making
Corona virus... it's just non stop. What about you?,Yes,"Health, Fatigue, or Physical Pain"
Coronavirus and my job situation.,Yes,Work
Coronavirus and panic buying have been stressing me out.,Yes,Work
Coronavirus has been stressing me out due to being in furlough,Yes,Financial Problem
"Coronavirus has been stressing me out. I'm afrain to get sick, I cannot work and i am st",Yes,"Health, Fatigue, or Physical Pain"
Coronavirus has definitely increased my anxiety,Yes,Other
Coronavirus is happening and I can't leave my house.,Yes,Other
Coronavirus is threatening my current employment.,Yes,Work
CORONAVIRUS preventing me from WORKING so I cannot pay my BILLS and keep family FED,Yes,Financial Problem
"Coronavirus, my financial budget, thinking of my student debts",Yes,Financial Problem
Coronavirus.  I am high risk because of asthma so I am worried,Yes,"Health, Fatigue, or Physical Pain"
Coronavirus.  I'm very scared of what it will do,Yes,Emotional Turmoil
court in 2 weeks nd no deal in sight,Yes,Other
Covid 19,Yes,Everyday Decision Making
Covid 19 has been severely impacting my life. I miss seeing people.,Yes,Other
COVID 19 is everywhere and I have to respond as a fire fighter,Yes,Work
covid 19 is making me lose hours at work and i cant keep up with my bills,Yes,Financial Problem
"COVID is really stressing me, I can't think about anything else.",Yes,Emotional Turmoil
Co-vid! Isn't that what's stressing us all out?,Yes,Other
Covid-19 and money,Yes,"Health, Fatigue, or Physical Pain"
Covid-19 has been really stressing me out. Life as we know it is forever different,Yes,Other
COVID-19 has been stressing me out!,Yes,Other
covid19 has messed with my sleep schedule a bit,Yes,"Health, Fatigue, or Physical Pain"
covid-19 is all over my town and i'm afraid to die!,Yes,Other
Covid-19 it laid of my husband from work. My surgery got postponed.,Yes,Work
COVID-19 Pandemic,Yes,Other
Covid-19 pandemic has been really stressful,Yes,"Health, Fatigue, or Physical Pain"
COVID-19 Quarantine has me feeling pretty lonely and isolated lately.,Yes,Emotional Turmoil
coworkers ostracising me again,Yes,Emotional Turmoil
crap life seems to suck!,Yes,Emotional Turmoil
